id,CompanyNo,BusinessName,PostCode,IndustryCode,EmploymentBands,Turnover,LegalStatus,TradingStatus,UPRN,VatRefs,PayeRefs
1000012345000048,12758033,BIG BOX CEREAL 9 LTD,OL16 1XB,10612,1,10,1,A,10023450177,"553769640216",""
1000012345000049,12764969,BIG BOX CEREAL 7 LTD,TS14 7DH,10612,1,10,1,A,10023450203,"553769640213",""
1000012345000050,12852643,BIG BOX CEREAL 46 LTD,B94 5LT,10612,1,10,1,A,10023450102,"553769640258",""
1000012345000051,12878303,BIG BOX CEREAL 54 LTD,M8 8EN,10612,1,10,1,A,10023450158,"553769640273",""
1000012345000052,12894651,BIG BOX CEREAL 38 LTD,SK6 4AN,10612,1,10,1,A,10023450193,"553769640250",""
1000012345000053,12902696,BIG BOX CEREAL 34 LTD,RM12 6JL,10612,1,10,1,A,10023450187,"553769640245",""
1000012345000054,12902701,BIG BOX CEREAL 31 LTD,BS5 6DH,10612,1,10,1,A,10023450106,"553769640241",""
1000012345000055,12902750,BIG BOX CEREAL 30 LTD,DA16 3PR,10612,1,10,1,A,10023450126,"553769640240",""
1000012345000056,12902833,BIG BOX CEREAL 29 LTD,E17 7DB,10612,1,10,1,A,10023450136,"553769640239",""
1000012345000059,4423770,M&AOHWLESALE LTD,NG14 5AR,73120,1,10,1,A,10023450162,"868500288000","065H7Z31732"
1000012345000103,,BUEADLIING SOLUTIONS LTD,WD5 0HA ,56103,1,10,3,,10023450206,"868504062000",""
1000012345000104,,JO2WMILITED,DG14 0RZ,86900,1,10,1,,10023450130,"",""
1000012345000105,,AUBASOT(CHRISTCHURCH) LIMITED,OL12 8EH,90010,1,10,2,,10023450173,"862764963000",""
1000012345000071,5306817,TIPO@SNOLTD,TR4 8SG ,82190,1,10,1,A,10023450202,"862768657000","035H7A22627"
1000012345000091,7929797,TIPO@SNOLTD,MK18 2RL,90010,1,10,1,A,10023450161,"862791764000","125H7A71620"
1000012345000082,5483819,A&AIMSTH & RUST,BT78 2BR,71129,1,10,1,A,10023450113,"863898438000","125H7Z76149"
1000012345000057,4334768,B&AULPMBING,BT78 2BR,62020,1,10,1,A,10023450113,"863974551000","845H7Z28099"
1000012345000085,5504523,C&AWAORTHINGTON,PL25 3RR,70229,1,10,1,A,10023450181,"864362586000","195H7Z78538"
1000012345000079,5448884,F&ALOHDINGS LTD,DN14 7NN,47250,1,10,1,A,10023450132,"865059676000","665H7Z75347"
1000012345000081,5462502,THAC9IRENE PLACE,GL54 5BE,41100,1,10,1,A,10023450140,"705322646019",""
1000012345000106,,MACAITRN,PE20 2BQ,1130,1,10,2,,10023450180,"865649355000",""
1000012345000107,,PLCABMUING/HEATING & MAINTENANCE,HA1 3TS ,93191,1,10,2,,10023450146,"865668644000",""
1000012345000084,5496244,J&AOORFING HASLEMERE LTD,CT4 8AR ,71129,1,10,1,A,10023450121,"865671367000","395H7Z76402"
1000012345000108,,APHCALEPL,EC2V 7BX,1410,1,10,3,,10023450137,"865678640000",""
1000012345000073,5360774,M&AROFGERTY,GU6 7LB ,43210,1,10,1,A,10023450145,"866443574000","065H7Z98010"
1000012345000075,5396020,M&ATUFURES LTD,GU15 3DX,62020,1,10,1,A,10023450143,"866644249000","065H7Z76932"
1000012345000080,5451141,M&ATUFURES LTD,GU15 3DX,46342,1,10,1,A,10023450143,"866648646000","575H7Z76895"
1000012345000083,5491141,M&AOHPTOGRAPHY LIMITED,BT78 1AU,62020,1,10,1,A,10023450112,"866925239000",""
1000012345000109,,RAG2BIHPC DESIGN LTD,BT44 9LB,64209,1,10,1,,10023450111,"",""
1000012345000110,,CIMALIVENGINEERING LTD,HA5 2BR ,56101,1,10,2,,10023450147,"",""
1000012345000111,,KEJANELTD,M14 5RF ,56103,1,10,2,,10023450156,"","125H7A62272"
1000012345000112,,CHMAWDAICK,SY7 8PL ,32500,1,10,3,,10023450199,"","915H7Z52253"
1000012345000113,,(SMASSUEX) LTD,EX32 7JR,43220,1,10,2,,10023450138,"","915H7V34330"
1000012345000114,,HEMAFYRICS,GU10 5LU,93120,1,10,2,,10023450141,"","915H7Z72878"
1000012345000115,,DNAAWMHOLESALE LTD,SG5 3TQ ,43320,1,10,2,,10023450192,"213742804000",""
1000012345000116,,AUBASOT( CHRISTCHURCH ) LIMITED,CO6 3LG ,49410,1,10,2,,10023450120,"769072263000",""
1000012345000117,,SMANOCSULTANCY LTD,TF10 7BE,96020,1,10,2,,10023450201,"","915H7Z74262"
1000012345000097,NI027780,ARUQ4RETS LTD,CW5 7BF ,68209,1,10,1,A,10023450124,"161036522000",""
1000012345000096,NI026704,CRMATBAREE LTD,BT37 0PQ,96020,1,10,1,A,10023450110,"","915H7Z71460"
1000012345000099,NI035924,&KAJMHUGHES,KY6 3NE ,68320,1,10,1,A,10023450154,"885262962000","475H7A83589"
1000012345000118,,JO2WDTL,CO6 1TB ,64301,1,10,1,,10023450119,"",""
1000012345000119,,SUMAESSX LTD,W1K 6TT ,96020,1,10,2,,10023450205,"","925H7Z58966"
1000012345000100,NI584296,DNAABEUILDING SOLUTIONS LTD,ST5 5LS ,96020,1,10,1,A,10023450197,"899043358000","475H7A71128"
1000012345000120,,WEMAIDLNG & STEEL FABRIC,W1K 6TT ,96020,1,10,2,,10023450205,"","925H7Z75117"
1000012345000094,NI023985,MEOM4UTNM LIMITED,S7 1DY  ,38320,1,10,7,A,10023450190,"118946056000","915H7Z72071"
1000012345000095,NI026041,INMASUDTRIAL (UK) LTD,GU10 5LU,91020,1,10,7,A,10023450141,"","915H7Z73289"
1000012345000121,,DNAAPMLUMBING AND HEATING,HP2 7PT ,43310,1,10,2,,10023450149,"151982164000",""
1000012345000098,NI028069,A&AMOHES LTD,IP2 0DE ,71129,1,10,1,A,10023450150,"863549159000","925H7Z76037"
1000012345000058,4421983,T&AHEVICLE SERVICING UK LTD,CF44 7BN,68320,1,10,1,A,10023450117,"869334757000","035H7Z45931"
1000012345000072,5334525,DNAACIAMPBELL,KT17 2QN,90040,1,10,1,A,10023450153,"909286067000","035H7Z69820"
1000012345000069,5193712,&JAHKEATHER,NR7 8JT ,82911,1,10,1,A,10023450163,"","035H7Z65883"
1000012345000078,5432843,BOJAEWSLL LIMITED,BA1 3AU ,90030,1,10,1,A,10023450103,"","035H7Z75756"
1000012345000065,4911870,AGJASUILTD,BT32 3YJ,69201,1,10,1,A,10023450108,"","035H7Z71605"
1000012345000070,5280545,BJAULPMBING & HEATING LTD,BT32 3YJ,86900,1,10,1,A,10023450108,"","035H7Z72466"
1000012345000074,5386693,A&ARACRUTHERS LTD,MK18 2RL,96090,1,10,1,A,10023450161,"862944667000","035H7Z75474"
1000012345000122,,LTL2CD,DE22 5JE,68209,1,10,1,,10023450127,"",""
1000012345000061,4646968,&IAJLMOORLAND,GU15 2PB,86900,1,10,1,A,10023450142,"","035H7Z39978"
1000012345000123,,BOJAELIR MAINTENANCE LIMITED,SN5 8ZD ,82990,1,10,2,,10023450195,"","035H7Z73979"
1000012345000064,4843459,CEIAILINGS PARTITIONS LTD,DN5 9SF ,86900,1,10,7,A,10023450135,"","035H7Z45124"
1000012345000062,4654835,DNAARJOOFING (HASLEMERE) LTD,DN14 8LS,55100,1,10,1,A,10023450133,"974996908000","365H7Z73608"
1000012345000063,4661499,DNAANKORTH LIMITED,DN14 8LS,55100,1,10,1,A,10023450133,"974996908001",""
1000012345000060,4633669,CA&AOWRTHINGTON,B45 8XH ,47710,1,10,1,A,10023450101,"864428775002",""
1000012345000089,5980653,C&ATACERING (UK) LIMITED,PL25 3RR,47710,1,10,1,A,10023450181,"864428775000",""
1000012345000068,5159818,M&AOHPTOGRAPHY LTD,BT78 1AU,82990,1,10,1,A,10023450112,"867412975000",""
1000012345000102,OC283267,M&AULPMBING & HEATING SCOTLAND,BT78 1AU,82990,1,10,1,A,10023450112,"867412975001",""
1000012345000067,5087037,DNAAPJLASTICS LTD,KT17 2QN,71121,1,10,1,A,10023450153,"974881131000","415H7Z76767"
1000012345000090,6161941,DNAAQJUALITY MEATS LTD,DN14 8LS,71121,1,10,1,A,10023450133,"974881131001",""
1000012345000076,5402717,BAAAALLNTYNE LTD,DE4 2GE ,41201,1,10,1,A,10023450128,"870852680001",""
1000012345000077,5402908,R+ALIGLEN,BT94 4DQ,41201,1,10,1,A,10023450114,"870852680000","415H7Z80801"
1000012345000066,5061111,R&ASMTEPHENSON,CV35 7TS,71122,1,10,1,A,10023450122,"869257843000","575H7Z71278"
1000012345000087,5707994,S&ATAWERHOUSE,CF48 4NX,71122,1,10,1,A,10023450118,"869257843004",""
1000012345000093,9585950,ORPS4STCAMPS LTD,YO6 7HE ,43390,1,10,1,A,10023450210,"216347595000","075H7Z82992"
1000012345000092,9263285,BAAAALLNTYNE LTD,RG10 0DG,69102,1,10,1,A,10023450183,"876756227000","535H7Z91015"
1000012345000086,5568599,DNAACAARRUTHERS LTD,DE4 3LD ,96090,1,10,1,A,10023450129,"892205891000","585H7Z82827"
1000012345000088,5791919,DNAAHAOMES LIMITED,BS4 5DY ,96090,1,10,1,A,10023450105,"892205891001","585H7Z95910"
1000012345000101,NI587803,BAAAALLNTYNE LTD,M29 8RD ,25110,1,10,1,A,10023450157,"872984546000","955H7Z79572"
1000012345000124,,KEJANELIMITED,LU6 3HS ,96020,1,10,2,,10023450155,"","125H7A25264,125H7Z61772"
1000012345000125,,PJAHOJNSON,CV35 8EP,56103,1,10,2,,10023450123,"","195H7A07564,475H7A80894"
