ubrn,crn,nameline,tradstyle,address1,address2,address3,address4,address5,postcode,sic07,paye_jobs,turnover,legalstatus,trading_status,birth_date,death_date,death_code,uprn
1000012345000043,12649897,BIG BOX CEREAL 2 LTD,,(ROAD MARKINGS),CARTWHEELS,GILSLAND,CARLISLE,CUMBRIA,CA8 7DR,10612,1,10,1,A,01/04/2017,,,10023450116
1000012345000044,12692047,BIG BOX CEREAL 4 LTD,,(ROADRUNNER) ,148A WARSTONES DRIVE,PENN,WOLVERHAMPTON,WEST MIDLANDS,WV4 4NJ,10612,1,10,1,A,01/04/2017,,,10023450209
1000012345000045,12717026,BIG BOX CEREAL 8 LTD,,(ROCHDALE BODY REPAIRERS),WOOD ST,ROCHDALE,LANCS,,OL16 5QN,10612,1,10,1,A,01/04/2017,,,10023450179
1000012345000046,12741463,BIG BOX CEREAL 20 LTD,,(ROCHDALE) ,NORWICH ST,ROCHDALE,LANCS,,OL11 1LJ,10612,1,10,1,A,01/04/2017,,,10023450166
1000012345000047,12743252,BIG BOX CEREAL 17 LTD,,(ROCHDALE) ,BROADFIELD STILE,ROCHDALE,LANCS,,OL11 1UT,10612,1,10,1,A,01/04/2017,,,10023450167
1000012345000048,12758033,BIG BOX CEREAL 9 LTD,,(ROCHDALE TAX OFFICE),NEWGATE HOSUE,NEWGATE,ROCHDALE,LANCS,OL16 1XB,10612,1,10,1,A,01/04/2017,,,10023450177
1000012345000049,12764969,BIG BOX CEREAL 7 LTD,,(ROBINBUILD ),MORGAN DRIVE,RECTORY LANE INDUST EST,GUISBOROUGH,CLEVELAND,TS14 7DH,10612,1,10,1,A,01/04/2017,,,10023450203
1000012345000050,12852643,BIG BOX CEREAL 46 LTD,,(ROOFING CONTRACTORS) ,246 NORTON LANE,EARLSWOOD,SOLIHULL,WEST MIDLANDS,B94 5LT,10612,1,10,1,A,01/04/2017,,,10023450102
1000012345000051,12878303,BIG BOX CEREAL 54 LTD,,(ROSAWEAR),22 ABBEYHILLS RD,GLODWICK,OLDHAM,,M8 8EN,10612,1,10,1,A,01/04/2017,,,10023450158
1000012345000052,12894651,BIG BOX CEREAL 38 LTD,,(ROMILEY),GUYWOOD LANE,ROMILEY,STOCKPORT,CHESHIRE,SK6 4AN,10612,1,10,1,A,01/04/2017,,,10023450193
1000012345000053,12902696,BIG BOX CEREAL 34 LTD,,(ROMFORD),21-25 STATION LANE 2ND FLOOR,STIRLING HOUSE,HORNCHURCH,ESSEX,RM12 6JL,10612,1,10,1,A,01/04/2017,,,10023450187
1000012345000054,12902701,BIG BOX CEREAL 31 LTD,,(ROMAN RD),2 ROMAN RD,EASTON,BRISTOL,,BS5 6DH,10612,1,10,1,A,01/04/2017,,,10023450106
1000012345000055,12902750,BIG BOX CEREAL 30 LTD,,(ROMA FASHIONS) ,6A BELLEGROVE RD,WELLING,KENT,,DA16 3PR,10612,1,10,1,A,01/04/2017,,,10023450126
1000012345000056,12902833,BIG BOX CEREAL 29 LTD,,(ROMA FASHIONS) ,127 HIGH STREET,WALTHAMSTOW,LONDON,,E17 7DB,10612,1,10,1,A,01/04/2017,,,10023450136
1000012345000059,4423770,M&AOHWLESALE LTD,,1 CRAGMOOR ROAD               ,BURTON JOYCE                  ,NOTTINGHAM                    ,                              ,                              ,NG14 5AR,73120,1,10,1,A,01/04/2017,,,10023450162
1000012345000103,,BUEADLIING SOLUTIONS LTD,,1 HAZELWOOD LANE              ,ABBOTS LANGLEY                ,                              ,                              ,                              ,WD5 0HA ,56103,1,10,3,,01/04/2017,,,10023450206
1000012345000104,,JO2WMILITED,,1 BARRASCROFTS                ,CANONBIE                      ,                              ,                              ,                              ,DG14 0RZ,86900,1,10,1,,01/04/2017,,,10023450130
1000012345000105,,AUBASOT(CHRISTCHURCH) LIMITED,,1 GARTH EDGE                  ,SHAWFORTH                     ,WHITWORTH                     ,ROCHDALE LANCASHIRE           ,                              ,OL12 8EH,90010,1,10,2,,01/04/2017,,,10023450173
1000012345000071,5306817,TIPO@SNOLTD,,1 CHELLEAN VEAN               ,FROGPOOL                      ,TRURO                         ,CORNWALL                      ,                              ,TR4 8SG ,82190,1,10,1,A,01/04/2017,,,10023450202
1000012345000091,7929797,TIPO@SNOLTD,,1 CHERRY LEYS                 ,STEEPLE CLAYDON               ,BUCKINGHAM                    ,                              ,                              ,MK18 2RL,90010,1,10,1,A,01/04/2017,,,10023450161
1000012345000082,5483819,A&AIMSTH & RUST,,1 CHURCH STREET               ,FINTONA                       ,OMAGH                         ,                              ,                              ,BT78 2BR,71129,1,10,1,A,01/04/2017,,,10023450113
1000012345000057,4334768,B&AULPMBING,,1 CHURCH STREET               ,FINTONA                       ,OMAGH                         ,                              ,                              ,BT78 2BR,62020,1,10,1,A,01/04/2017,,,10023450113
1000012345000085,5504523,C&AWAORTHINGTON,,1 CHYNOON GARDENS             ,ST AUSTELL                    ,                              ,                              ,                              ,PL25 3RR,70229,1,10,1,A,01/04/2017,,,10023450181
1000012345000079,5448884,F&ALOHDINGS LTD,,1 CLIFF COTTAGES              ,SPALDINGTON                   ,GOOLE                         ,NORTH HUMBERSIDE              ,                              ,DN14 7NN,47250,1,10,1,A,01/04/2017,,,10023450132
1000012345000081,5462502,THAC9IRENE PLACE,,1 CHEDWORTH DRIVE             ,WINCHCOMBE                    ,CHELTENHAM                    ,                              ,                              ,GL54 5BE,41100,1,10,1,A,01/04/2017,,,10023450140
1000012345000106,,MACAITRN,,1 GRAVES FARM                 ,ALGARKIRK                     ,BOSTON                        ,LINCOLNSHIRE                  ,LINCS                         ,PE20 2BQ,01130,1,10,2,,01/04/2017,,,10023450180
1000012345000107,,PLCABMUING/HEATING & MAINTENANCE,,1 GREEN COTTAGES              ,WATFORD ROAD                  ,HARROW                        ,MIDDLESEX                     ,                              ,HA1 3TS ,93191,1,10,2,,01/04/2017,,,10023450146
1000012345000084,5496244,J&AOORFING HASLEMERE LTD,,1 COBBS HILL                  ,OLD WIVES LEES                ,CANTERBURY                    ,KENT                          ,                              ,CT4 8AR ,71129,1,10,1,A,01/04/2017,,,10023450121
1000012345000108,,APHCALEPL,,1 GRESHAM STREET              ,LONDON                        ,                              ,                              ,                              ,EC2V 7BX,01410,1,10,3,,01/04/2017,,,10023450137
1000012345000073,5360774,M&AROFGERTY,,1 COLLINGDON COURT            ,GROVE ROAD                    ,CRANLEIGH                     ,SURREY GU6 7LB                ,                              ,GU6 7LB ,43210,1,10,1,A,01/04/2017,,,10023450145
1000012345000075,5396020,M&ATUFURES LTD,,1 COMPTON PLACE               ,SURREY AVENUE                 ,CAMBERLEY                     ,                              ,                              ,GU15 3DX,62020,1,10,1,A,01/04/2017,,,10023450143
1000012345000080,5451141,M&ATUFURES LTD,,1 COMPTON PLACE               ,SURREY AVENUE                 ,CAMBERLEY                     ,SURREY                        ,                              ,GU15 3DX,46342,1,10,1,A,01/04/2017,,,10023450143
1000012345000083,5491141,M&AOHPTOGRAPHY LIMITED,,1 COOLNAGARD MEADOWS          ,OMAGH                         ,                              ,                              ,                              ,BT78 1AU,62020,1,10,1,A,01/04/2017,,,10023450112
1000012345000109,,RAG2BIHPC DESIGN LTD,,1 BALLYCREGAGH ROAD           ,CLOUGHMILLS                   ,BALLYMENA                     ,                              ,                              ,BT44 9LB,64209,1,10,1,,01/04/2017,,,10023450111
1000012345000110,,CIMALIVENGINEERING LTD,,1 LAWSON GARDENS              ,PINNER                        ,MIDDLESEX                     ,                              ,                              ,HA5 2BR ,56101,1,10,2,,01/04/2017,,,10023450147
1000012345000111,,KEJANELTD,,1 KENT ROAD WEST              ,MANCHESTER                    ,                              ,                              ,                              ,M14 5RF ,56103,1,10,2,,01/04/2017,,,10023450156
1000012345000112,,CHMAWDAICK,,1 LAWN COTTAGES               ,NEWCASTLE                     ,CRAVEN ARMS                   ,SHROPSHIRE                    ,                              ,SY7 8PL ,32500,1,10,3,,01/04/2017,,,10023450199
1000012345000113,,(SMASSUEX) LTD,HTUSOAOCST LAW,1 LANSDOWNE VILLAS            ,GOODLEIGH ROAD                ,BARNSTAPLE                    ,DEVON                         ,                              ,EX32 7JR,43220,1,10,2,,01/04/2017,,,10023450138
1000012345000114,,HEMAFYRICS,YFEHAMCIRS,1 LITTLE JENKYN               ,HOLE LANE                     ,BENTLEY                       ,HAMPSHIRE                     ,                              ,GU10 5LU,93120,1,10,2,,01/04/2017,,,10023450141
1000012345000115,,DNAAWMHOLESALE LTD,,1 FREEWATERS CLOSE            ,ICKLEFORD                     ,HITCHIN                       ,                              ,                              ,SG5 3TQ ,43320,1,10,2,,01/04/2017,,,10023450192
1000012345000116,,AUBASOT( CHRISTCHURCH ) LIMITED,,1 GARLING WALK                ,WEST BERGHOLT                 ,COLCHESTER                    ,                              ,                              ,CO6 3LG ,49410,1,10,2,,01/04/2017,,,10023450120
1000012345000117,,SMANOCSULTANCY LTD,,1 LOWER BAR                   ,NEWPORT                       ,                              ,                              ,                              ,TF10 7BE,96020,1,10,2,,01/04/2017,,,10023450201
1000012345000097,NI027780,ARUQ4RETS LTD,,1 BROOKWAY                    ,NANTWICH                      ,CREWE                         ,CHESHIRE                      ,                              ,CW5 7BF ,68209,1,10,1,A,01/04/2017,,,10023450124
1000012345000096,NI026704,CRMATBAREE LTD,,1 LENAMORE DRIVE              ,NEWTOWNABBEY                  ,                              ,                              ,                              ,BT37 0PQ,96020,1,10,1,A,01/04/2017,,,10023450110
1000012345000099,NI035924,&KAJMHUGHES,,1 KINROSS ROAD                ,LESLIE                        ,FIFE                          ,                              ,                              ,KY6 3NE ,68320,1,10,1,A,01/04/2017,,,10023450154
1000012345000118,,JO2WDTL,,1 BEARDS TERRACE              ,COGGESHALL                    ,COLCHESTER                    ,                              ,                              ,CO6 1TB ,64301,1,10,1,,01/04/2017,,,10023450119
1000012345000119,,SUMAESSX LTD,,1 LUMLEY STREET               ,LONDON                        ,                              ,                              ,                              ,W1K 6TT ,96020,1,10,2,,01/04/2017,,,10023450205
1000012345000100,NI584296,DNAABEUILDING SOLUTIONS LTD,,1 FAIR-GREEN ROAD             ,BALDWINS GATE                 ,NEWCASTLE UNDER LYME          ,STAFFORDSHIRE                 ,                              ,ST5 5LS ,96020,1,10,1,A,01/04/2017,,,10023450197
1000012345000120,,WEMAIDLNG & STEEL FABRIC,,1 LUMLEY STREET               ,MAYFAIR                       ,LONDON                        ,                              ,                              ,W1K 6TT ,96020,1,10,2,,01/04/2017,,,10023450205
1000012345000094,NI023985,MEOM4UTNM LIMITED,,1 BROOKFIELD YARD             ,SHEFFIELD                     ,                              ,                              ,                              ,S7 1DY  ,38320,1,10,7,A,01/04/2017,,,10023450190
1000012345000095,NI026041,INMASUDTRIAL (UK) LTD,,1 LITTLE JENKYN               ,HOLE LANE                     ,BENTLEY                       ,HAMPSHIRE                     ,                              ,GU10 5LU,91020,1,10,7,A,01/04/2017,,,10023450141
1000012345000121,,DNAAPMLUMBING AND HEATING,,1 FINWAY ROAD                 ,HEMEL HEMPSTEAD               ,HERTFORDSHIRE                 ,                              ,                              ,HP2 7PT ,43310,1,10,2,,01/04/2017,,,10023450149
1000012345000098,NI028069,A&AMOHES LTD,,1 CHERRYHOLME                 ,HADLEIGH ROAD                 ,IPSWICH                       ,SUFFOLK                       ,                              ,IP2 0DE ,71129,1,10,1,A,01/04/2017,,,10023450150
1000012345000058,4421983,T&AHEVICLE SERVICING UK LTD,,1 DEAN STREET                 ,ABERDARE                      ,                              ,                              ,                              ,CF44 7BN,68320,1,10,1,A,01/04/2017,,,10023450117
1000012345000072,5334525,DNAACIAMPBELL,,1 FAIRFAX AVENUE              ,EAST EWELL                    ,EPSOM                         ,SURREY                        ,                              ,KT17 2QN,90040,1,10,1,A,01/04/2017,,,10023450153
1000012345000069,5193712,&JAHKEATHER,,1 INMAN ROAD                  ,NORWICH                       ,                              ,                              ,                              ,NR7 8JT ,82911,1,10,1,A,01/04/2017,,,10023450163
1000012345000078,5432843,BOJAEWSLL LIMITED,,1 KELSO PLACE                 ,UPPER BRISTOL ROAD            ,BATH                          ,                              ,                              ,BA1 3AU ,90030,1,10,1,A,01/04/2017,,,10023450103
1000012345000065,4911870,AGJASUILTD,,1 JINGLERS COURT              ,BANBRIDGE                     ,                              ,                              ,                              ,BT32 3YJ,69201,1,10,1,A,01/04/2017,,,10023450108
1000012345000070,5280545,BJAULPMBING & HEATING LTD,,1 JINGLERS COURT              ,BANBRIDGE                     ,CO DOWN                       ,                              ,                              ,BT32 3YJ,86900,1,10,1,A,01/04/2017,,,10023450108
1000012345000074,5386693,A&ARACRUTHERS LTD,,1 CHERRY LEYS                 ,STEEPLE CLAYDON               ,BUCKINGHAMSHIRE               ,                              ,                              ,MK18 2RL,96090,1,10,1,A,01/04/2017,,,10023450161
1000012345000122,,LTL2CD,,1 BARN CLOSE                  ,QUARNDON                      ,DERBY                         ,                              ,                              ,DE22 5JE,68209,1,10,1,,01/04/2017,,,10023450127
1000012345000061,4646968,&IAJLMOORLAND,,1 HOSKINS PLACE               ,WATCHETTS ROAD                ,CAMBERLEY                     ,SURREY                        ,                              ,GU15 2PB,86900,1,10,1,A,01/04/2017,,,10023450142
1000012345000123,,BOJAELIR MAINTENANCE LIMITED,,1 JUNO WAY                    ,SWINDON                       ,                              ,                              ,                              ,SN5 8ZD ,82990,1,10,2,,01/04/2017,,,10023450195
1000012345000064,4843459,CEIAILINGS PARTITIONS LTD,,1 HUNT LANE                   ,DONCASTER                     ,                              ,                              ,                              ,DN5 9SF ,86900,1,10,7,A,01/04/2017,,,10023450135
1000012345000062,4654835,DNAARJOOFING (HASLEMERE) LTD,,1 FERRY LANE                  ,AIRMYN                        ,GOOLE                         ,EAST YORKSHIRE                ,                              ,DN14 8LS,55100,1,10,1,A,01/04/2017,,,10023450133
1000012345000063,4661499,DNAANKORTH LIMITED,,1 FERRY LANE                  ,AIRMYN                        ,GOOLE                         ,NORTH HUMBERSIDE              ,                              ,DN14 8LS,55100,1,10,1,A,01/04/2017,,,10023450133
1000012345000060,4633669,CA&AOWRTHINGTON,,1 CLEVELAND DRIVE             ,BARNT GREEN                   ,BIRMINGHAM                    ,                              ,                              ,B45 8XH ,47710,1,10,1,A,01/04/2017,,,10023450101
1000012345000089,5980653,C&ATACERING (UK) LIMITED,RIOVFAETCHICKEN,1 CHYNOON GARDENS             ,ST AUSTELL                    ,CORNWALL                      ,                              ,                              ,PL25 3RR,47710,1,10,1,A,01/04/2017,,,10023450181
1000012345000068,5159818,M&AOHPTOGRAPHY LTD,,1 COOLNAGARD MEADOWS          ,OMAGH                         ,                              ,                              ,                              ,BT78 1AU,82990,1,10,1,A,01/04/2017,,,10023450112
1000012345000102,OC283267,M&AULPMBING & HEATING SCOTLAND,,1 COOLNAGARD MEADOWS          ,OMAGH                         ,CO TYRONE                     ,                              ,                              ,BT78 1AU,82990,1,10,1,A,01/04/2017,,,10023450112
1000012345000067,5087037,DNAAPJLASTICS LTD,,1 FAIRFAX AVENUE              ,EPSOM                         ,                              ,                              ,                              ,KT17 2QN,71121,1,10,1,A,01/04/2017,,,10023450153
1000012345000090,6161941,DNAAQJUALITY MEATS LTD,,1 FERRY LANE                  ,AIRMYN                        ,GOOLE                         ,                              ,                              ,DN14 8LS,71121,1,10,1,A,01/04/2017,,,10023450133
1000012345000076,5402717,BAAAALLNTYNE LTD,,1 DERWENT AVENUE              ,DARLEY DALE                   ,MATLOCK                       ,DERBYSHIRE                    ,                              ,DE4 2GE ,41201,1,10,1,A,01/04/2017,,,10023450128
1000012345000077,5402908,R+ALIGLEN,,1 DERRYHEALLY                 ,BROOKEBOROUGH                 ,CO FERMANAGH                  ,                              ,                              ,BT94 4DQ,41201,1,10,1,A,01/04/2017,,,10023450114
1000012345000066,5061111,R&ASMTEPHENSON,,1 CRIMSCOTE SQUARE            ,HATTON PARK                   ,WARWICK                       ,                              ,                              ,CV35 7TS,71122,1,10,1,A,01/04/2017,,,10023450122
1000012345000087,5707994,S&ATAWERHOUSE,,1 CROSS STREET                ,ABERFAN                       ,MERTHYR TYDFIL                ,                              ,                              ,CF48 4NX,71122,1,10,1,A,01/04/2017,,,10023450118
1000012345000093,9585950,ORPS4STCAMPS LTD,,1 BUNGALOW                    ,LOW FIELD                     ,KIRKBYMOORSIDE                ,NORTH YORKSHIRE               ,                              ,YO6 7HE ,43390,1,10,1,A,01/04/2017,,,10023450210
1000012345000092,9263285,BAAAALLNTYNE LTD,BAAAALLNTYNE & COMPANY,1 DIAMOND VILLAS              ,THE STREET                    ,HURST                         ,READING                       ,                              ,RG10 0DG,69102,1,10,1,A,01/04/2017,,,10023450183
1000012345000086,5568599,DNAACAARRUTHERS LTD,MAETHRONHOUSE,1 DRABBLES ROAD               ,MATLOCK                       ,                              ,                              ,                              ,DE4 3LD ,96090,1,10,1,A,01/04/2017,,,10023450129
1000012345000088,5791919,DNAAHAOMES LIMITED,,1 ELLESMERE ROAD              ,BRISLINGTON                   ,BRISTOL                       ,                              ,                              ,BS4 5DY ,96090,1,10,1,A,01/04/2017,,,10023450105
1000012345000101,NI587803,BAAAALLNTYNE LTD,,1 DEWBERRY CLOSE              ,TYLDESLEY                     ,MANCHESTER                    ,                              ,                              ,M29 8RD ,25110,1,10,1,A,01/04/2017,,,10023450157
1000012345000124,,KEJANELIMITED,,1 KENSWORTH GATE              ,200-204 HIGH STREET SOUTH     ,DUNSTABLE                     ,BEDS                          ,                              ,LU6 3HS ,96020,1,10,2,,01/04/2017,,,10023450155
1000012345000125,,PJAHOJNSON,,1 KEYTES LANE                 ,BARFORD                       ,WARWICKSHIRE                  ,                              ,                              ,CV35 8EP,56103,1,10,2,,01/04/2017,,,10023450123
